Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
2012,12,17,,,,,,,sl1nk releases evidence of SCADA hacks,"Computer hacker sl1nk announced that he has hacked a total of 9 countries' SCADA systems. The proof includes 6 countries: France, Norway, Russia, Spain, Sweden and the United States.",,,,,,hack,
2013,,,,,,,,,Tumbler hacks,"The social networking website Tumblr is attacked by hackers. Consequently, 65,469,298 unique emails and passwords were leaked from Tumblr. The data breach's legitimacy is confirmed by computer security researcher Troy Hunt",,,,,,hack,#333333
2013,8,,,,,,,,Yahoo! breach,More than 1 billion users' data leaked,,,,,,hack,
2014,2,7,,,,,,,Mt. Gox goes bankrupt,"The bitcoin exchange Mt. Gox filed for bankruptcy after $460 million was apparently stolen by hackers due to ""weaknesses in [their] system"" and another $27.4 million went missing from its bank accounts.",,,,,,milestone,#333333
2014,10,,,,,,,,White House computers hacked,"The White House computer system was hacked. It was said that the FBI, the Secret Service, and other U.S. intelligence agencies categorized the attacks ""among the most sophisticated attacks ever launched against U.S. government systems.",,,,,,hack/government,
2014,11,24,,,,,,,Sony hacks,"In response to the release of the film The Interview, the servers of Sony Pictures are hacked by a hacker group calling itself ""Guardian of Peace"". North Korea suspected to be behind the hacks.",,,,,,hack,#333333
2014,11,28,,,,,,,Globe Telecom website defaced,The website of the Philippine telecommunications company Globe Telecom was hacked in response to the poor internet service they are distributing,,,,,,defacement,
2015,6,,,,,,,,OPM hack,"the records of 21.5 million people, including social security numbers, dates of birth, addresses, fingerprints, and security clearance-related information, are stolen from the United States Office of Personnel Management (OPM).[96] Most of the victims are employees of the United States government and unsuccessful applicants to it. The Wall Street Journal and The Washington Post report that government sources believe the hacker is the government of China",,,,,,hack,#333333
2015,7,,,,,,,,Ashley Madison hack,The servers of extramarital affairs website Ashley Madison were breached,,,,,,hack,
2016,2,,,,,,,,Bangladesh Bank heist ,"The 2016 Bangladesh Bank heist attempted to steal US$951 million from a Bangladesh Bank, and succeeded in getting $101 million—although some of this was later recovered",,,,,,hack,#333333
2016,7,22,,,,,,,Wikileaks publishes DNC emails,Wikipeaks published the documents from the 2016 Democratic National Committee email leak,,,,,,politics,
2016,7,29,,,,,,,Vietnam Airlines website defaced,A group suspected coming from China launched hacker attacks on the website of Vietnam Airlines,,,,,,culture,#333333
2016,8,13,,2017,4,,,,Shadow Brokers leaks,"The Shadow Brokers (TSB) started publishing several leaks containing hacking tools purportedly from the National Security Agency (NSA), including several zero-day exploits. Ongoing leaks until April 2017",,,,,title,hack,
2016,9,,,,,,,,Ardit Ferizi sentenced,Hacker Ardit Ferizi is sentenced to 20 years in prison after being arrested for hacking U.S. servers and passing the leaked information to members of ISIL terrorist group back in 2015,,,,,,law,#333333
2016,10,,,,,,,,2016 Dyn cyberattack,"The 2016 Dyn cyberattack is being conducted with a botnet consisting of IOTs infected with Mirai by the hacktivist groups SpainSquad, Anonymous, and New World Hackers, reportedly in retaliation for Ecuador's rescinding Internet access to WikiLeaks founder Julian Assange at their embassy in London, where he has been granted asylum",,,,,,hack,
2016,,,,,,,,,Uber hack,"Hackers steal international personal user data from the company Uber, including phone numbers, email addresses, and names, of 57 million people and 600,000 driver's license numbers of drivers for the company. Uber's GitHub account was accessed through Amazon's cloud-based service. Uber paid the hackers $100,000 for assurances the data was destroyed",,,,,,hack,#333333
2016,12,,,,,,,,Yahoo! data breach affect 1 billion users,"Yahoo! data breaches reported and affected more than 1 billion users. The data leakage includes user names, email addresses, telephone numbers, encrypted or unencrypted security questions and answers, dates of birth, and hashed passwords",,,,,,hack,
2017,4,,,,,,,,Netflix hacks," A hacker group calling itself ""The Dark Overlord"" posted unreleased episodes of Orange Is the New Black TV series online after failing to extort the online entertainment company Netflix",,,,,,hack,#333333
2017,5,12,,,,,,,Wannacry ransomware attack,"The WannaCry ransomware attack started on Friday, May 12, 2017,[103] and has been described as unprecedented in scale, infecting more than 230,000 computers in over 150 countries",,,,,,hack,
2017,5,,,,,,,,Hacked cosmeticsurgery photos released,"25,000 digital photos and ID scans relating to patients of the Grozio Chirurgija cosmetic surgery clinic in Lithuania were obtained and published without consent by an unknown group demanding ransoms.[105][106][107] Thousands of clients from more than 60 countries were affected.[105] The breach brought attention to weaknesses in Lithuania's information security",,,,,,hack,#333333
2017,6,,,,,,,,NotPetya attack,,,,,,,hack,
2017,6,,,,,,,,TRISIS attack,"TRITON (TRISIS), a malware framework designed to reprogram Triconex safety instrumented systems (SIS) of industrial control systems (ICS), discovered in Saudi Arabian Petrochemical plant",,,,,,hack,#333333
2017,8,,,,,,,,HBO hacks,"Hackers demand $7.5 million in Bitcoin to stop pre-releasing HBO shows and scripts, including Ballers, Room 104 and Game of Thrones",,,,,,hack,
2017,5,,,2017,7,,,,Equifax breach,,,,,,,hack,#333333
2017,9,,,,,,,,Deloitte breach,,,,,,,hack,
2017,12,,,,,,,,"Mecklenburg County, NC hacks","Mecklenburg County, NC computer systems were hacked. They did not pay the ransom",,,,,,ransomware,#333333
2018,3,,,,,,,,"Wasaga beach, Ontario hacks","The town of Wasaga Beach in Ontario, Canada computer systems are seized by hackers with ransomware",,,,,,ransomware,
2018,9,,,,,,,,Facebook hacked,"Facebook was hacked, exposing to hackers the personal information of an estimated 30 million Facebook users (initially estimated at 50 million) when the hackers ""stole"" the ""access tokens"" of 400,000 Facebook users. The information accessible to the hackers included users' email addresses, phone numbers, their lists of friends, Groups they are members of, users' search information, posts on their timelines, and names of recent Messenger conversations",,,,,,hack,#333333
2018,10,,,,,,,,"West Haven, Connecticut hacked","West Haven, Connecticut computer systems are seized by hackers with ransomware, they paid $2,000 in ransom",,,,,,ransomware,
2018,11,,,,,,,,First US indictment of ransomware operators,"The first U.S. indictment of individual people for ransomware attacks occurs. The U.S. Justice Department indicted two men Faramarz Shahi Savandi and Mohammad Mehdi Shah Mansouri who allegedly used the SamSam ransomware for extortion, netting them more than $6 million in ransom payments. The companies infected with the ransomware included Allscripts, Medstar Health, and Hollywood Presbyterian Medical Center. Altogether, the attacks caused victims to lose more than $30 million, in addition to the ransom payments",,,,,,law,#333333
2018,11,,,,,,,,Starwood Hotel breached,Marriott disclosed that its Starwood Hotel brand had been subject to a security breach,,,,,,hack,
1984,,,,,,,,,Chaos Computer Congress formed,"The first Chaos Computer Congress takes place in Hamburg, Germany",,,,,,crew,#333333
1999,8,6,,1999,8,8,,,First Chaos Communication Camp held,"The first Chaos Communication Camp takes place near Berlin, Germany",,,,,,gathering,
1986,1,19,,,,,,,Brain virus released,Considered the first computer virus for the IBM PC,,,,,,tool,https://en.wikipedia.org/wiki/Brain_(computer_virus)
1988,1,,,,,,,,Byte Bandit released,A boot sector virus created for the Commodore Amiga,,,,,,tool,https://en.wikipedia.org/wiki/Byte_Bandit
1980,,,,,,,,,Cascade computer virus,Assembly virus,,,,,,tool,#333333
1982,,,,,,,,,Elk Cloner,One of the first known microcomputer viruses to spread in the wild.,,,,,,tool,
1989,10,,,,,,,,Ghostball virus,the first multipartite virus discovered,,,,,,tool,https://en.wikipedia.org/wiki/Ghostball_(computer_virus)
2009,12,,,,,,,,"Goatse Security a.k.a. ""goatsec"" founded",A grey hat vulnerability research group.,,,,,,crew,
2002,,,,,,,,,GNAA founded,"The Gay Nigger Association of America (GNAA), an Internet trolling group, begins trolling slashdot, wikipedia, CNN, Alex Jones and Barack Obama",,,,,,crew,#333333
2010,4,6,,,,,,,Shadow Network Report Released,"The Shadow Network is a China-based computer espionage operation that stole classified documents and emails from the Indian government, the office of the Dalai Lama, and other high-level government networks.[1][2] This incident is the second cyber espionage operation of this sort by China, discovered by researchers at the Information Warfare Monitor, following the discovery of GhostNet in March 2009.[3][4][5] The Shadow Network report ""Shadows in the Cloud: Investigating Cyber Espionage 2.0"" was released on 6 April 2010, approximately one year after the publication of ""Tracking GhostNet.""",,,,,,government,https://en.wikipedia.org/wiki/Shadow_Network
2010,9,21,,2010,12,10,,,Operation Payback,,,,,,,culture,https://en.wikipedia.org/wiki/Operation_Payback
2013,10,,,,,,,,Operation Payback indictments,"n October 2013, 13 members of Operation Payback were indicted in Federal court in Alexandria, Virginia as co-conspirators in violation of 18 U.S.C. § 371 and 18 U.S.C. § 1030.[116] In 2014, some of the members received a plea deal, reducing their felony charges to a single misdemeanor.[117] The defendants were penalized with low jail sentences, and one defendant walked away with community service",,,,,,law,
2003,,,,,,,,,Hacking Team founded,"HackingTeam was a Milan-based information technology company that sold offensive intrusion and surveillance capabilities to governments, law enforcement agencies and corporations.[1] Its ""Remote Control Systems"" enable governments and corporations to monitor the communications of internet users, decipher their encrypted files and emails, record Skype and other Voice over IP communications, and remotely activate microphones and camera on target computers.[2] The company has been criticized for providing these capabilities to governments with poor human rights records,[3] though HackingTeam states that they have the ability to disable their software if it is used unethically.[4][5] The Italian government has restricted their licence to do business with countries outside Europe",,,,,,crew,https://en.wikipedia.org/wiki/Hacking_Team
2015,7,5,,,,,,,Hacking Team breach,"On July 5, 2015, the Twitter account of the company was compromised by an unknown individual who published an announcement of a data breach against HackingTeam's computer systems. The initial message read, ""Since we have nothing to hide, we're publishing all our e-mails, files, and source code ..."" and provided links to over 400 gigabytes of data, including alleged internal e-mails, invoices, and source code; which were leaked via BitTorrent and Mega.[23] An announcement of the data breach, including a link to the bittorrent seed, was retweeted by WikiLeaks and by many others through social media.[",,,,,,hack,https://en.wikipedia.org/wiki/Hacking_Team
1998,,,,,,,,,The Analyzer arrested,The Israeli hacker behind the SOLAR SUNRISE breach of the US government is arrested.,,,,,,law,https://en.wikipedia.org/wiki/Ehud_Tenenbaum
2003,,,,,,,,,Slammer worm,"SQL Slammer[a] is a 2003 computer worm that caused a denial of service on some Internet hosts and dramatically slowed general Internet traffic. It spread rapidly, infecting most of its 75,000 victims within ten minutes.",,,,,,tool,https://en.wikipedia.org/wiki/SQL_Slammer
2016,,,,,,,,,Locky ransomware,Locky ransomware is released,,,,,,ransomware,https://en.wikipedia.org/wiki/Locky
1991,2,4,,,,,,,Michelangelo virus discovered,"The Michelangelo virus is a computer virus first discovered on 4 February 1991 in Australia.[1] The virus was designed to infect DOS systems, but did not engage the operating system or make any OS calls. Michelangelo, like all boot sector viruses, operated at the BIOS level. Each year, the virus remained dormant until March 6, the birthday of Renaissance artist Michelangelo. There is no reference to the artist in the virus, and it is doubtful that the virus's developer(s) intended a connection between the virus and the artist. The name was chosen by researchers who noticed the coincidence of the activation date. The actual significance of the date to the author is unknown",,,,,,tool,https://en.wikipedia.org/wiki/Michelangelo_(computer_virus)
1971,,,,,,,,,First computer worm isolated,"Creeper was an experimental computer program written by Bob Thomas at BBN in 1971.[2] Its original iteration was designed to move between DEC PDP-10 mainframe computers running the TENEX operating system using the ARPANET, with a later version by Ray Tomlinson designed to copy itself between computers rather than simply move.[3] This self-replicating version of Creeper is generally accepted to be the first computer worm.",,,,,,tool,https://en.wikipedia.org/wiki/Creeper_(program)
1974,,,,,,,,,The Rabbit virus,"The Rabbit (or Wabbit) virus, more a fork bomb than a virus, is written. The Rabbit virus makes multiple copies of itself on a single computer (and was named ""Rabbit"" for the speed at which it did so) until it clogs the system, reducing system performance, before finally reaching a threshold and crashing the computer.",,,,,,tool,https://en.wikipedia.org/wiki/Timeline_of_computer_viruses_and_worms#Pre-1970
1975,4,,,,,,,,ANIMAL virus,"ANIMAL is written by John Walker for the UNIVAC 1108.[8] ANIMAL asked several questions of the user in an attempt to guess the type of animal the user was thinking of, while the related program PERVADE would create a copy of itself and ANIMAL in every directory to which the current user had access. It spread across the multi-user UNIVACs when users with overlapping permissions discovered the game, and to other computers when tapes were shared. The program was carefully written to avoid damaging existing file or directory structures, and to avoid copying itself if permissions did not exist or if harm would result. Its spread was halted by an OS upgrade that changed the format of the file status tables PERVADE used. Though non-malicious, ""Pervading Animal"" represents the first Trojan ""in the wild""",,,,,,tool,https://en.wikipedia.org/wiki/Timeline_of_computer_viruses_and_worms#Pre-1970
1983,11,,,,,,,,"""Virus"" term coined","The term ""virus"" is re-coined by Frederick B. Cohen in describing self-replicating computer programs. In 1984 Cohen uses the phrase ""computer virus"" (suggested by his teacher Leonard Adleman) to describe the operation of such programs in terms of ""infection"". He defines a ""virus"" as ""a program that can 'infect' other programs by modifying them to include a possibly evolved copy of itself."" Cohen demonstrates a virus-like program on a VAX11/750 system at Lehigh University. The program could install itself in, or infect, other system objects",,,,,,milestone,
1984,8,,,,,,,,Reflections on Trusting Trust published,"Ken Thompson publishes his seminal paper, Reflections on Trusting Trust, in which he describes how he modified a C compiler so that when used to compile a specific version of the Unix operating system, it inserts a backdoor into the login command, and when used to compile a new copy of itself, it inserts the backdoor insertion code, even if neither the backdoor nor the backdoor insertion code is present in the source code of this new copy",,,,,,publication,#333333
1996,,,,,,,,,Smashing the stack for fun and for profit published,,,,,,,publication,
1987,11,,,,,,,,SCA virus,"The SCA virus, a boot sector virus for Amiga computers, appears. It immediately creates a pandemic virus-writer storm. A short time later, SCA releases another, considerably more destructive virus, the Byte Bandit.",,,,,,tool,https://en.wikipedia.org/wiki/Timeline_of_computer_viruses_and_worms#Pre-1970
1988,12,,,,,,,,Father Christmas worm hits NASA,"The Father Christmas worm attacks DEC VAX machines running VMS that are connected to the DECnet Internet (an international scientific research network using DECnet protocols), affecting NASA and other research centers. Its purpose was to deliver a Christmas greeting to all affected users",,,,,,hack/government,
1994,4,,,,,,,,Onehalf virus,OneHalf is a DOS-based polymorphic computer virus,,,,,,tool,https://en.wikipedia.org/wiki/Timeline_of_computer_viruses_and_worms#Pre-1970
2000,6,28,,,,,,,Pikachu virus,"The Pikachu virus is believed to be the first computer virus geared at children. It contains the character ""Pikachu"" from the Pokémon series. The operating systems affected by this worm are Windows 95, Windows 98, and Windows ME",,,,,,tool,https://en.wikipedia.org/wiki/Timeline_of_computer_viruses_and_worms#Pre-1970
2001,9,18,,,,,,,Nimda worm,,,,,,,tool,https://en.wikipedia.org/wiki/Timeline_of_computer_viruses_and_worms#Pre-1970
2003,8,12,,,,,,,Blaster worm,,,,,,,tool,https://en.wikipedia.org/wiki/Timeline_of_computer_viruses_and_worms#Pre-1970
2004,1,26,,,,,,,Mydoom worm,,,,,,,tool,https://en.wikipedia.org/wiki/Timeline_of_computer_viruses_and_worms#Pre-1970
2007,7,,,,,,,,Zeus trojan,,,,,,,tool,https://en.wikipedia.org/wiki/Timeline_of_computer_viruses_and_worms#Pre-1970
2011,9,1,,,,,,,Duqu worm,"Duqu is a worm thought to be related to the Stuxnet worm. The Laboratory of Cryptography and System Security (CrySyS Lab)[71] of the Budapest University of Technology and Economics in Hungary discovered the threat, analysed the malware, and wrote a 60-page report naming the threat Duqu.[72][73] Duqu gets its name from the prefix ""~DQ"" it gives to the names of files it creates",,,,,,tool,https://en.wikipedia.org/wiki/Timeline_of_computer_viruses_and_worms#Pre-1970
2012,5,,,,,,,,Flame wiper,,,,,,,tool,https://en.wikipedia.org/wiki/Timeline_of_computer_viruses_and_worms#Pre-1970
2013,9,,,,,,,,cryptolocker trojan,,,,,,,ransomware,https://en.wikipedia.org/wiki/Timeline_of_computer_viruses_and_worms#Pre-1970
2016,9,20,,,,,,,Mirai botnet attacks krebs website,,,,,,,hack,https://en.wikipedia.org/wiki/Timeline_of_computer_viruses_and_worms#Pre-1970
2018,2,,,,,,,,Thanatos ransomware,,,,,,,ransomware,https://en.wikipedia.org/wiki/Timeline_of_computer_viruses_and_worms#Pre-1970
1957,,,,,,,,,Joybubbles discovers 2600 Hz,"At 7 years old, Joybubbles allegedly discovers that whistling at 2600 Hz interferes with AT&T's automated telephone systems opening the door for phone phreaking",,,,,,milestone,
1985,,,,1990,,,,,Hacker's Handbook published,,,,,,,publication,#333333
1967,,,,1973,,,,,Golden age of phone phreaking,,,,,,era,milestone,
1993,3,,,,,,,,Wired Magazine publishes first issue,,,,,,,publication,#333333
1990,,,,1992,,,,,The Great Hacker War,"The Great Hacker War was a purported 1990–1992 (perhaps 1997) conflict between the Masters of Deception (MOD) and an unsanctioned splinter faction of the older guard hacker group Legion of Doom (LOD), amongst several smaller subsidiary groups. Both of the primary groups involved made attempts to hack into the opposing group's networks, across Internet, X.25, and telephone networks. In a panel debate of The Next HOPE conference, 2010, Phiber Optik re-iterated that the rumoured ""gang war in cyberspace"" between LOD and MOD never happened, and that it was ""a complete fabrication"" by the U.S attorney's office and some sensationalist media.[1] Furthermore, two other high-ranking members of the LOD confirmed that the ""Great Hacker War"" never occurred, reinforcing the idea that this was just a competition of one-upsmanship and not a war. ",,,,,era,culture,https://en.wikipedia.org/wiki/Great_Hacker_War
1994,8,13,,1994,8,14,,,The first Hackers On Planet Earth conference,"The Hackers on Planet Earth (HOPE) conference series is a hacker convention sponsored by the security hacker magazine 2600: The Hacker Quarterly that until 2020 was typically held at Hotel Pennsylvania, in Manhattan, New York City.[1] Occurring biennially in the summer, there have been twelve conferences to date with the most recent occurring July 20–23, 2018.[2][3] HOPE 2020, originally planned to be held at St. John's University[4], was instead held as a nine-day virtual event from July 25 to August 2, 2020.[5] HOPE features talks, workshops, demonstrations, tours, and movie screenings",,,,,,gathering,
1989,8,2,,1989,2,4,,,Galactic Hacker Party,"The Galactic Hacker Party was a hacker con that was held in Paradiso in the Netherlands from August 2, 1989 to August 4, 1989 Visitors were people with an interest in technology (mainly computers) and the - at that time - relatively unknown internet",,,,,,gathering,https://en.wikipedia.org/wiki/Quadrennial_Dutch_hacker_convention
1993,,,,,,,,,Last Hack-Tic issue published,,,,,,,publication,
1984,,,,,,,,,Datenschleuder founded,"Die Datenschleuder. Das wissenschaftliche Fachblatt für Datenreisende, literally translated as The Data Slingshot: The scientific trade journal for data voyagers, is a German hacker magazine that is published at irregular intervals by the Chaos Computer Club (CCC)",,,,,,culture,https://en.wikipedia.org/wiki/Datenschleuder
1989,,,,,,,,,Fake Chaos Computer Club France created,"The Chaos Computer Club France (CCCF) was a fake hacker organisation created in 1989 in Lyon (France) by Jean-Bernard Condat, under the command of Jean-Luc Delacour, an agent of the Direction de la surveillance du territoire governmental agency. The primary goal of the CCCF was to watch and to gather information about the French hacker community, identifying the hackers who could harm the country.[38][15] Journalist Jean Guisnel [fr] said that this organization also worked with the French National Gendarmerie.

The CCCF had an electronic magazine called Chaos Digest (ChaosD). Between 4 January 1993 and 5 August 1993, seventy-three issues were published",,,,,,government,https://en.wikipedia.org/wiki/Chaos_Computer_Club#CCCF
1985,3,,,,,,,,GNU manifesto published,,,,,,,publication,
2001,10,26,,,,,,,USA PATRIOT Act becomes law,"The USA PATRIOT Act (commonly known as the Patriot Act) was a landmark Act of the United States Congress, signed into law by President George W. Bush. The formal name of the statute is the Uniting and Strengthening America by Providing Appropriate Tools Required to Intercept and Obstruct Terrorism (USA PATRIOT) Act of 2001, and the commonly used short name is a contrived acronym that is embedded in the name set forth in the statute",,,,,,law,#333333
2007,,,,,,,,,Aurora generator test,"Idaho National Laboratory ran the Aurora Generator Test in 2007 to demonstrate how a cyberattack could destroy physical components of the electric grid.[1] The experiment used a computer program to rapidly open and close a diesel generator's circuit breakers out of phase from the rest of the grid, thereby subjecting the engine to abnormal torques and ultimately causing it to explode. This vulnerability is referred to as the Aurora Vulnerability",,,,,,government,
2006,10,4,,,,,,,Wikileaks founded,,,,,,,politics,#333333
1998,10,,,,,,,,Attrition.org created,,,,,,,culture,
2006,,,,,,,,,RNC aide Attempts to hire Attrition ,"In 2006, Republican communications aide Todd Shriber attempted to hire Attrition to crack his former university's website.[7] Shriber was then sacked from his job for attempting to solicit a hacker to inflate his GPA",,,,,,politics,#333333
2009,,,,,,,,,Security BSides launches,"Security BSides (commonly referred to as BSides) is a series of loosely affiliated information security conferences.[1] It was co-founded by Mike Dahn, Jack Daniel, and Chris Nickerson in 2009.[2] Due to an overwhelming number of presentation submissions to Black Hat USA in 2009, the rejected presentations were presented to a smaller group of individuals.[3][4] Over time the conference format matured and was released to enable individuals to start their own BSides conferences",,,,,,gathering,
1997,7,7,,1997,7,10,,,First Black Hat conference,"The first Black Hat was held July 7-10, 1997 in Las Vegas, immediately prior to DEF CON 5. The conference was aimed at the computer industry, promising to give them privileged insight into the minds and motivations of their hacker adversaries. ""While many conferences focus on information and network security, only the Black Hat Briefings will put your engineers and software programmers face-to-face with today's cutting edge computer security experts and 'hackers,'""[3] It was presented by DEF CON Communications and Cambridge Technology Partners. Black Hat was founded by Jeff Moss, who also founded DEF CON. Today, Moss is the Conference Chair of the Black Hat Review Board.[4] These are considered[by whom?] the premier information security conferences in the world. Black Hat started as a single annual conference in Las Vegas, Nevada and is now held in multiple locations around the world.[5] Black Hat was acquired by CMP Media, a subsidiary of U.K.-based United Business Media (UBM) in 2005",https://media-exp1.licdn.com/dms/image/C560BAQFfL6RIhMrLUw/company-logo_200_200/0/1526680292190?e=2159024400&v=beta&t=ZiF1B--jD3-tUtsRe4ystwmtJDNaOxu0BhU35Bk4qK8,,,,,gathering,#333333
2011,,,,2018,,,,,Derbycon,"DerbyCon was a computer security conference based in Louisville, Kentucky.[1] The first DerbyCon took place in 2011 and was founded by Martin Bos, Dave Kennedy, Alex Kah and Adrian Crenshaw.[2] The conference has been held at the Hyatt Regency Louisville typically in late September",https://pbs.twimg.com/profile_images/1100903441/derbyconlogo-Twitter_400x400.jpg,,,,,gathering,
1987,6,19,,1987,6,21,,,First Summercon Held,,,,,,,gathering,https://en.wikipedia.org/wiki/Summercon
1990,3,28,,2000,3,12,,,Computer Underground Digest,,,,,,,publication,"The Computer Underground Digest (CuD) was a weekly online newsletter on early Internet cultural, social, and legal issues published by Gordon Meyer and Jim Thomas from March 1990 to March 2000"
1987,11,22,,,,,,,Max Headroom Incident,"The Max Headroom signal hijacking occurred on the night of November 22, 1987, when the television broadcasts of two stations in Chicago, Illinois, United States, were hijacked in an act of broadcast piracy by a video of an unidentified person wearing a Max Headroom mask and costume, accompanied by distorted audio and a corrugated metal panel swiveling in the background to mimic Max Headroom's geometric background effect",https://metvcdn.metv.com/AwOoa-1511368996-1833-blog-maxheadroom_pirate.jpg,,,,,hack,https://en.wikipedia.org/wiki/Max_Headroom_signal_hijacking
1986,4,27,,,,,,,Captain Midnight Signal Intrusion,"On April 27, 1986, American electrical engineer and business owner John R. MacDougall (using the pseudonym ""Captain Midnight"") jammed the Home Box Office (HBO) satellite signal on Galaxy 1 during a showing of the film The Falcon and the Snowman. The message, broadcast for four and a half minutes, was seen by the eastern half of the United States (accounting for more than half of HBO's 14.6 million subscribers at the time) protesting HBO's rates for satellite dish owners, which he considered too expensive. MacDougall was working at his second job as an operations engineer at the Central Florida Teleport uplink station in Ocala, Florida, and vied with a technician at HBO's communications center in Hauppauge, New York, for control of the transmission. The technician attempted to increase uplink power but gave up because of the risk of damaging the satellite. MacDougall eventually abandoned his control of the satellite",,,,,,hack,https://en.wikipedia.org/wiki/Captain_Midnight_broadcast_signal_intrusion
1977,11,26,,,,,,,Southern Television broadcast interruption,"The Southern Television broadcast interruption was a broadcast signal intrusion that occurred on 26 November 1977 in parts of southern England in the United Kingdom. The audio of a Southern Television broadcast was replaced by a voice claiming to represent the 'Ashtar Galactic Command', delivering a message instructing humanity to abandon its weapons so it could participate in a 'future awakening' and 'achieve a higher state of evolution'. After six minutes, the broadcast returned to its scheduled programme.",,,,,,hack,https://en.wikipedia.org/wiki/Southern_Television_broadcast_interruption
1998,,,,,,,,,Ars Technica launches,,,,,,,publication,https://en.wikipedia.org/wiki/Ars_Technica
1903,,,,,,,,,Morse Code Diss,"Magician and inventor Nevil Maskelyne disrupts John Ambrose Fleming's public demonstration of Guglielmo Marconi's purportedly secure wireless telegraphy technology, sending insulting Morse code messages through the auditorium's projector",https://upload.wikimedia.org/wikipedia/commons/9/94/OptischerTelegraf.jpg,,,https://upload.wikimedia.org/wikipedia/commons/9/94/OptischerTelegraf.jpg,,hack,https://www.newscientist.com/article/mg21228440-700-dot-dash-diss-the-gentleman-hackers-1903-lulz/
1932,,,,,,,,,Enigma Code broken,"Polish cryptologists Marian Rejewski, Henryk Zygalski and Jerzy Różycki broke the Enigma machine code",https://history-computer.com/wp-content/uploads/2021/10/Enigma-1024x535.jpg,,,,,hack,
1946,,,,,,,,,Grace Hopper finds a bug,"In 1946, when Hopper was released from active duty, she joined the Harvard Faculty at the Computation Laboratory where she continued her work on the Mark II and Mark III. Operators traced an error in the Mark II to a moth trapped in a relay, coining the term bug. This bug was carefully removed and taped to the log book. Stemming from the first bug, today we call errors or glitches in a program a bug.",,,,,,tech,https://en.wikipedia.org/wiki/Software_bug
1983,9,26,,,,,,,Neal Patrick of 414s testifies to congress,"As a result of news coverage, congressman Dan Glickman called for an investigation and new laws about computer hacking.[11] Neal Patrick testified before the U.S. House of Representatives on September 26, 1983 about the dangers of computer hacking, and six bills concerning computer crime were introduced in the House that year",,,,,,government,https://en.wikipedia.org/wiki/The_414s
1998,6,3,,,,,,,Milw0rm compromises Bhabha Atomic Research Centre,"Milw0rm is a group of ""hacktivists""[1] best known for penetrating the computers of the Bhabha Atomic Research Centre (BARC) in Mumbai, the primary nuclear research facility of India, on June 3, 1998.[2] The group conducted hacks for political reasons,[3] including the largest mass hack up to that time, inserting an anti-nuclear weapons agenda and peace message on its hacked websites.[4][5] The group's logo featured the slogan ""Putting the power back in the hands of the people.""",,,,,,hack,https://en.wikipedia.org/wiki/Milw0rm
1995,,,,,,,,,"""Hacktivism"" term coined","Writer Jason Sack first used the term hacktivism in a 1995 article in conceptualizing New Media artist Shu Lea Cheang's film Fresh Kill. However, the term is frequently attributed to the Cult of the Dead Cow (cDc) member ""Omega,"" who used it in a 1996 e-mail to the group. Due to the variety of meanings of its root words, the definition of hacktivism is nebulous and there exists significant disagreement over the kinds of activities and purposes it encompasses. Some definitions include acts of cyberterrorism while others simply reaffirm the use of technological hacking to effect social change.",,,,,,culture,https://en.wikipedia.org/wiki/Hacktivism
2010,,,,,,,,,Chelsea Manning leaks classified data to Wikileaks,"Assigned in 2009 to an Army unit in Iraq as an intelligence analyst, Manning had access to classified databases. In early 2010, she leaked classified information to WikiLeaks and confided this to Adrian Lamo, an online acquaintance. Lamo indirectly informed the Army's Criminal Investigation Command, and Manning was arrested in May that same year",,,,,,hack,https://en.wikipedia.org/wiki/Chelsea_Manning
1952,11,4,,,,,,,National Security Agency created,,,,,,,government,
1999,3,31,,,,,,,The Matrix released,,,,,,,culture,
1997,,,,,,,,,L0phtcrack released,"L0phtCrack is a password auditing and recovery application originally produced by Mudge from L0pht Heavy Industries. It is used to test password strength and sometimes to recover lost Microsoft Windows passwords, by using dictionary, brute-force, hybrid attacks, and rainbow tables",,,,,,tool,https://en.wikipedia.org/wiki/L0phtCrack
1958,2,7,,,,,,,DARPA created,,,,,,,government,
2003,,,,,,,,,TITAN RAIN attacks on US government,,,,,,,government,
2010,5,21,,,,,,,Cyber Command created,"United States Cyber Command (USCYBERCOM) is one of the eleven unified combatant commands of the United States Department of Defense (DoD). It unifies the direction of cyberspace operations, strengthens DoD cyberspace capabilities, and integrates and bolsters DoD's cyber expertise.",,,,,,government,#333333
1983,8,15,,1993,11,,,,Rainbow series published,,,,,,,publication,
2013,5,20,,,,,,,Edward Snowden leaves US,,,,,,,government,#333333
1981,,,,,,,,,National Computer Security Center (NCSC) created,"The DoD Computer Security Center was founded in 1981 and renamed the National Computer Security Center (NCSC) in 1985. NCSC was responsible for computer security throughout the federal government. NCSC was part of NSA,[179] and during the late 1980s and the 1990s, NSA and NCSC published Trusted Computer System Evaluation Criteria in a six-foot high Rainbow Series of books that detailed trusted computing and network platform specifications.",,,,,,government,
